,ACCIDENT_NO,ATMOSPH_COND,ATMOSPH_COND_SEQ,Atmosph Cond Desc
144687,T20160002360,2,0,Raining
144688,T20160002361,2,1,Raining
144689,T20160002362,1,1,Clear
144690,T20160002363,2,1,Raining
144691,T20160002364,1,0,Clear
144692,T20160002367,2,1,Raining
144693,T20160002368,2,1,Raining
144694,T20160002370,1,1,Clear
144695,T20160002371,1,0,Clear
144696,T20160002373,2,1,Raining
144697,T20160002374,1,1,Clear
144698,T20160002375,9,1,Not known
144699,T20160002376,9,1,Not known
144700,T20160002377,2,1,Raining
144701,T20160002378,1,0,Clear
144702,T20160002381,9,1,Not known
144704,T20160002384,9,1,Not known
144705,T20160002385,2,1,Raining
144706,T20160002386,1,0,Clear
144707,T20160002388,1,1,Clear
144708,T20160002389,2,1,Raining
144709,T20160002391,2,0,Raining
144710,T20160002392,9,1,Not known
144711,T20160002394,9,1,Not known
144712,T20160002395,1,1,Clear
144713,T20160002397,1,1,Clear
144714,T20160002398,9,1,Not known
144716,T20160002400,1,1,Clear
144717,T20160002402,2,0,Raining
144718,T20160002403,2,1,Raining
144719,T20160002406,1,0,Clear
144720,T20160002409,1,0,Clear
144721,T20160002410,1,0,Clear
144722,T20160002413,1,1,Clear
144724,T20160002416,1,0,Clear
144725,T20160002418,1,0,Clear
144726,T20160002419,9,1,Not known
144727,T20160002420,1,1,Clear
144728,T20160002421,1,1,Clear
144729,T20160002422,1,0,Clear
144730,T20160002424,1,1,Clear
144731,T20160002431,1,1,Clear
144732,T20160002432,1,1,Clear
144733,T20160002433,1,0,Clear
144734,T20160002434,1,1,Clear
144735,T20160002438,9,1,Not known
144736,T20160002439,1,1,Clear
144737,T20160002445,1,1,Clear
144738,T20160002448,1,1,Clear
144740,T20160002452,1,1,Clear
144741,T20160002453,1,0,Clear
144743,T20160002455,1,1,Clear
144744,T20160002456,1,1,Clear
144745,T20160002457,9,1,Not known
144746,T20160002458,1,1,Clear
144748,T20160002460,1,0,Clear
144749,T20160002462,1,1,Clear
144750,T20160002463,1,1,Clear
144751,T20160002466,1,1,Clear
144752,T20160002469,1,0,Clear
144753,T20160002470,1,1,Clear
144754,T20160002471,1,0,Clear
144755,T20160002473,1,1,Clear
144756,T20160002474,1,0,Clear
144757,T20160002476,2,1,Raining
144758,T20160002477,1,1,Clear
144759,T20160002478,9,1,Not known
144760,T20160002480,1,1,Clear
144761,T20160002483,1,1,Clear
144762,T20160002485,1,0,Clear
144763,T20160002487,1,0,Clear
144764,T20160002488,1,1,Clear
144765,T20160002489,1,1,Clear
144766,T20160002494,1,1,Clear
144767,T20160002495,1,0,Clear
144768,T20160002497,1,1,Clear
144769,T20160002498,1,1,Clear
144770,T20160002501,1,1,Clear
144771,T20160002503,1,1,Clear
144772,T20160002504,1,1,Clear
144773,T20160002505,1,1,Clear
144774,T20160002507,1,1,Clear
144775,T20160002508,1,1,Clear
144776,T20160002509,1,0,Clear
144777,T20160002510,9,0,Not known
144778,T20160002511,1,1,Clear
144779,T20160002513,1,0,Clear
144780,T20160002514,1,1,Clear
144781,T20160002515,1,1,Clear
144782,T20160002517,1,0,Clear
144783,T20160002523,9,1,Not known
144784,T20160002524,1,0,Clear
144785,T20160002527,1,1,Clear
144786,T20160002528,1,1,Clear
144787,T20160002529,1,1,Clear
144788,T20160002533,1,1,Clear
144789,T20160002535,1,1,Clear
144790,T20160002537,2,1,Raining
144791,T20160002538,1,1,Clear
144792,T20160002539,1,0,Clear
144793,T20160002540,9,1,Not known
144795,T20160002544,1,1,Clear
144796,T20160002546,1,1,Clear
144797,T20160002549,9,0,Not known
144798,T20160002550,1,1,Clear
144800,T20160002554,1,1,Clear
144801,T20160002556,1,1,Clear
144802,T20160002557,1,0,Clear
144803,T20160002559,1,1,Clear
144804,T20160002560,1,1,Clear
144805,T20160002562,1,1,Clear
144806,T20160002564,1,1,Clear
144807,T20160002567,1,1,Clear
144808,T20160002570,1,0,Clear
144809,T20160002571,1,1,Clear
144810,T20160002573,1,1,Clear
144811,T20160002574,1,1,Clear
144812,T20160002576,1,1,Clear
144813,T20160002577,1,1,Clear
144814,T20160002578,1,1,Clear
144815,T20160002579,1,1,Clear
144816,T20160002581,1,1,Clear
144817,T20160002582,1,1,Clear
144818,T20160002583,9,1,Not known
144819,T20160002584,1,1,Clear
144820,T20160002585,1,1,Clear
144821,T20160002586,1,1,Clear
144822,T20160002587,1,1,Clear
144823,T20160002589,1,1,Clear
144824,T20160002592,1,1,Clear
144825,T20160002594,1,1,Clear
144826,T20160002596,1,1,Clear
144827,T20160002598,1,0,Clear
144828,T20160002600,1,1,Clear
144829,T20160002601,1,1,Clear
