,ACCIDENT_NO,ATMOSPH_COND,ATMOSPH_COND_SEQ,Atmosph Cond Desc
174364,T20180002071,1,1,Clear
174365,T20180002076,9,0,Not known
174366,T20180002077,1,0,Clear
174367,T20180002078,9,1,Not known
174368,T20180002079,1,1,Clear
174369,T20180002083,1,1,Clear
174370,T20180002084,1,1,Clear
174371,T20180002085,1,1,Clear
174372,T20180002086,1,1,Clear
174373,T20180002087,1,1,Clear
174374,T20180002089,1,1,Clear
174375,T20180002093,1,0,Clear
174376,T20180002095,1,0,Clear
174377,T20180002096,1,1,Clear
174378,T20180002098,1,1,Clear
174379,T20180002099,1,1,Clear
174380,T20180002100,1,1,Clear
174381,T20180002104,1,1,Clear
174382,T20180002106,9,1,Not known
174383,T20180002108,1,1,Clear
174384,T20180002110,1,0,Clear
174385,T20180002111,9,0,Not known
174386,T20180002113,1,0,Clear
174387,T20180002114,1,1,Clear
174388,T20180002115,1,1,Clear
174389,T20180002116,1,1,Clear
174390,T20180002118,1,0,Clear
174391,T20180002119,1,1,Clear
174392,T20180002120,1,1,Clear
174393,T20180002121,1,1,Clear
174394,T20180002124,1,1,Clear
174395,T20180002127,1,1,Clear
174396,T20180002128,1,1,Clear
174397,T20180002129,1,1,Clear
174398,T20180002131,1,1,Clear
174399,T20180002133,1,1,Clear
174400,T20180002136,1,1,Clear
174401,T20180002137,1,1,Clear
174402,T20180002138,1,1,Clear
174403,T20180002139,1,1,Clear
174404,T20180002143,9,0,Not known
174405,T20180002144,1,1,Clear
174406,T20180002147,1,1,Clear
174407,T20180002148,1,1,Clear
174408,T20180002149,1,0,Clear
174409,T20180002150,1,0,Clear
174410,T20180002151,1,1,Clear
174411,T20180002152,1,1,Clear
174412,T20180002153,1,1,Clear
174413,T20180002155,1,1,Clear
174414,T20180002158,1,1,Clear
174415,T20180002159,1,1,Clear
174416,T20180002161,1,0,Clear
174417,T20180002162,1,1,Clear
174418,T20180002164,1,1,Clear
174419,T20180002165,1,1,Clear
174420,T20180002166,1,0,Clear
174421,T20180002168,1,1,Clear
174422,T20180002169,1,1,Clear
174423,T20180002172,9,1,Not known
174424,T20180002173,1,1,Clear
174425,T20180002177,1,1,Clear
174426,T20180002180,1,0,Clear
174427,T20180002182,1,1,Clear
174428,T20180002183,1,0,Clear
174429,T20180002184,1,1,Clear
174430,T20180002185,1,1,Clear
174431,T20180002186,1,1,Clear
174432,T20180002187,9,1,Not known
174433,T20180002188,1,1,Clear
174434,T20180002190,1,1,Clear
174435,T20180002193,1,1,Clear
174436,T20180002195,1,0,Clear
174437,T20180002197,1,1,Clear
174438,T20180002203,1,0,Clear
174439,T20180002204,9,1,Not known
174440,T20180002208,1,1,Clear
174441,T20180002210,1,1,Clear
174442,T20180002212,1,1,Clear
174443,T20180002216,1,1,Clear
174444,T20180002219,1,0,Clear
174445,T20180002220,1,1,Clear
174446,T20180002221,9,1,Not known
174447,T20180002225,9,1,Not known
174448,T20180002226,1,1,Clear
174449,T20180002230,1,1,Clear
174450,T20180002234,1,0,Clear
174451,T20180002237,1,1,Clear
174452,T20180002241,1,1,Clear
174453,T20180002242,1,1,Clear
174454,T20180002243,1,1,Clear
174455,T20180002244,1,1,Clear
174456,T20180002246,1,0,Clear
174457,T20180002247,1,1,Clear
174458,T20180002248,9,1,Not known
174459,T20180002249,1,1,Clear
174460,T20180002250,1,1,Clear
174461,T20180002252,1,1,Clear
174462,T20180002253,1,1,Clear
174463,T20180002255,1,1,Clear
174464,T20180002256,1,1,Clear
174465,T20180002257,1,0,Clear
174466,T20180002258,1,1,Clear
174467,T20180002259,1,1,Clear
174468,T20180002260,1,1,Clear
174469,T20180002262,1,0,Clear
174470,T20180002263,1,1,Clear
174471,T20180002264,1,1,Clear
174472,T20180002265,1,1,Clear
174473,T20180002266,1,1,Clear
174474,T20180002267,1,1,Clear
174475,T20180002271,1,1,Clear
174476,T20180002274,9,1,Not known
174477,T20180002275,1,1,Clear
174478,T20180002279,1,1,Clear
174479,T20180002280,1,1,Clear
174480,T20180002281,1,1,Clear
174481,T20180002283,1,1,Clear
174482,T20180002286,9,1,Not known
174483,T20180002287,1,1,Clear
174484,T20180002289,1,1,Clear
174485,T20180002290,1,0,Clear
174486,T20180002293,1,1,Clear
174487,T20180002294,1,1,Clear
174488,T20180002295,1,1,Clear
174489,T20180002297,1,0,Clear
174490,T20180002299,1,1,Clear
174491,T20180002302,1,1,Clear
174492,T20180002304,1,1,Clear
174493,T20180002305,1,1,Clear
174494,T20180002308,9,1,Not known
174495,T20180002310,1,0,Clear
174496,T20180002312,1,1,Clear
174497,T20180002313,1,1,Clear
174498,T20180002314,1,0,Clear
174499,T20180002315,1,0,Clear
174500,T20180002318,1,1,Clear
174501,T20180002320,1,1,Clear
174502,T20180002323,1,1,Clear
174503,T20180002326,1,1,Clear
174504,T20180002328,1,1,Clear
174505,T20180002329,1,1,Clear
174506,T20180002330,1,1,Clear
174507,T20180002331,1,1,Clear
174508,T20180002334,1,1,Clear
174509,T20180002336,1,0,Clear
174510,T20180002338,1,1,Clear
174511,T20180002340,1,1,Clear
174512,T20180002341,1,1,Clear
174513,T20180002344,1,0,Clear
174514,T20180002346,1,1,Clear
174515,T20180002347,1,1,Clear
174516,T20180002351,1,1,Clear
174517,T20180002354,1,1,Clear
174518,T20180002355,1,1,Clear
174519,T20180002356,1,1,Clear
174520,T20180002359,1,1,Clear
174521,T20180002363,1,1,Clear
174522,T20180002365,1,0,Clear
174523,T20180002367,1,1,Clear
174524,T20180002370,1,1,Clear
174525,T20180002371,1,1,Clear
174526,T20180002372,1,0,Clear
174527,T20180002373,1,0,Clear
174528,T20180002374,1,0,Clear
174529,T20180002376,1,1,Clear
174530,T20180002379,1,1,Clear
174531,T20180002380,1,1,Clear
174532,T20180002381,1,1,Clear
174533,T20180002385,1,1,Clear
174534,T20180002386,1,0,Clear
174536,T20180002389,1,1,Clear
174537,T20180002393,9,1,Not known
174538,T20180002394,1,1,Clear
174539,T20180002395,1,1,Clear
174540,T20180002396,1,1,Clear
174541,T20180002398,1,1,Clear
174542,T20180002399,1,1,Clear
174543,T20180002401,1,1,Clear
174544,T20180002403,1,1,Clear
174545,T20180002407,1,1,Clear
174546,T20180002415,2,0,Raining
174547,T20180002420,1,1,Clear
174548,T20180002421,1,0,Clear
174549,T20180002423,1,1,Clear
174550,T20180002424,1,1,Clear
174551,T20180002427,1,1,Clear
174552,T20180002428,1,1,Clear
174553,T20180002432,1,1,Clear
174554,T20180002434,1,0,Clear
174555,T20180002436,1,1,Clear
174556,T20180002440,1,0,Clear
174557,T20180002442,1,0,Clear
174558,T20180002443,1,1,Clear
174559,T20180002445,1,1,Clear
174560,T20180002446,1,1,Clear
174561,T20180002449,1,1,Clear
174562,T20180002450,1,1,Clear
174563,T20180002451,1,1,Clear
174564,T20180002455,1,1,Clear
174565,T20180002456,1,1,Clear
174566,T20180002458,1,0,Clear
174567,T20180002460,1,0,Clear
174568,T20180002461,1,1,Clear
174569,T20180002462,1,1,Clear
174570,T20180002465,1,0,Clear
174571,T20180002469,1,1,Clear
174572,T20180002472,1,1,Clear
174573,T20180002475,1,1,Clear
174574,T20180002477,9,1,Not known
174575,T20180002479,1,0,Clear
174576,T20180002480,1,1,Clear
174577,T20180002483,9,0,Not known
174578,T20180002488,1,1,Clear
174579,T20180002489,1,0,Clear
174580,T20180002493,1,0,Clear
174581,T20180002495,1,1,Clear
174582,T20180002497,1,1,Clear
174583,T20180002498,9,1,Not known
174584,T20180002502,9,1,Not known
174585,T20180002508,1,1,Clear
174586,T20180002509,1,1,Clear
174587,T20180002511,1,1,Clear
174588,T20180002512,1,1,Clear
174589,T20180002513,1,1,Clear
174590,T20180002516,1,1,Clear
174591,T20180002517,1,1,Clear
174592,T20180002518,1,1,Clear
174593,T20180002519,1,1,Clear
174594,T20180002521,1,1,Clear
174595,T20180002522,1,1,Clear
174596,T20180002523,1,1,Clear
174597,T20180002526,1,1,Clear
174598,T20180002529,1,1,Clear
174599,T20180002529,6,2,Dust
174600,T20180002530,1,1,Clear
174601,T20180002534,1,1,Clear
174602,T20180002536,1,0,Clear
174603,T20180002537,1,0,Clear
174604,T20180002540,1,0,Clear
174605,T20180002541,1,1,Clear
174606,T20180002543,1,1,Clear
174607,T20180002544,1,0,Clear
174608,T20180002547,1,1,Clear
174609,T20180002549,1,1,Clear
174610,T20180002551,1,1,Clear
174611,T20180002553,1,1,Clear
174612,T20180002555,1,1,Clear
174613,T20180002557,1,1,Clear
174614,T20180002560,1,1,Clear
174615,T20180002561,9,1,Not known
174616,T20180002562,2,1,Raining
174617,T20180002563,1,1,Clear
174618,T20180002565,9,1,Not known
174619,T20180002567,1,1,Clear
174620,T20180002569,1,1,Clear
174621,T20180002571,2,0,Raining
174622,T20180002574,2,1,Raining
174623,T20180002575,9,1,Not known
174624,T20180002576,1,1,Clear
174625,T20180002580,1,1,Clear
174626,T20180002582,1,0,Clear
174627,T20180002582,7,1,Strong winds
174628,T20180002584,2,1,Raining
174629,T20180002586,1,1,Clear
174630,T20180002588,1,1,Clear
174631,T20180002591,1,0,Clear
174632,T20180002594,1,1,Clear
174633,T20180002603,1,1,Clear
174634,T20180002605,1,1,Clear
174635,T20180002608,1,1,Clear
174636,T20180002617,1,1,Clear
174637,T20180002619,1,0,Clear
174638,T20180002620,1,1,Clear
174639,T20180002622,1,1,Clear
174640,T20180002623,1,1,Clear
174641,T20180002624,1,1,Clear
174642,T20180002626,1,1,Clear
174643,T20180002632,1,1,Clear
174644,T20180002634,9,1,Not known
174645,T20180002635,1,1,Clear
174646,T20180002636,1,1,Clear
174647,T20180002637,9,0,Not known
174648,T20180002638,1,1,Clear
174649,T20180002639,1,1,Clear
174650,T20180002640,1,0,Clear
174651,T20180002641,1,1,Clear
174652,T20180002644,1,1,Clear
174653,T20180002645,1,1,Clear
174654,T20180002649,1,0,Clear
174655,T20180002652,1,1,Clear
174656,T20180002653,2,0,Raining
174657,T20180002654,1,1,Clear
174658,T20180002655,1,1,Clear
174659,T20180002656,1,1,Clear
174660,T20180002657,1,1,Clear
174661,T20180002658,1,1,Clear
174662,T20180002659,1,1,Clear
174663,T20180002661,1,1,Clear
174664,T20180002665,1,0,Clear
174665,T20180002666,1,0,Clear
174666,T20180002667,1,1,Clear
174667,T20180002668,1,0,Clear
174668,T20180002669,1,1,Clear
174669,T20180002670,9,1,Not known
174670,T20180002671,1,1,Clear
174671,T20180002677,1,1,Clear
174672,T20180002679,9,0,Not known
174673,T20180002686,1,0,Clear
174674,T20180002688,1,1,Clear
174675,T20180002690,1,1,Clear
174676,T20180002691,1,1,Clear
174677,T20180002693,1,1,Clear
174678,T20180002694,1,0,Clear
174679,T20180002696,1,1,Clear
174680,T20180002701,1,1,Clear
174681,T20180002702,1,1,Clear
174682,T20180002703,1,1,Clear
174683,T20180002704,1,1,Clear
174684,T20180002706,9,1,Not known
174685,T20180002709,1,1,Clear
174686,T20180002710,1,1,Clear
174687,T20180002711,1,1,Clear
174688,T20180002713,1,0,Clear
174689,T20180002714,1,1,Clear
174690,T20180002715,1,0,Clear
174691,T20180002718,1,0,Clear
174692,T20180002722,1,1,Clear
174693,T20180002724,1,1,Clear
174694,T20180002725,9,1,Not known
174695,T20180002728,1,1,Clear
174696,T20180002730,1,1,Clear
174697,T20180002732,1,0,Clear
174698,T20180002733,1,1,Clear
174699,T20180002734,1,1,Clear
174700,T20180002738,1,1,Clear
174701,T20180002742,1,1,Clear
174702,T20180002743,1,1,Clear
174703,T20180002745,1,1,Clear
174704,T20180002746,1,1,Clear
174705,T20180002747,1,1,Clear
174706,T20180002748,1,1,Clear
174707,T20180002750,1,0,Clear
174708,T20180002754,1,0,Clear
174709,T20180002755,1,1,Clear
174710,T20180002756,1,1,Clear
174711,T20180002758,1,0,Clear
174712,T20180002760,1,0,Clear
174713,T20180002761,1,0,Clear
174714,T20180002762,1,1,Clear
174715,T20180002764,1,1,Clear
174716,T20180002765,1,0,Clear
174717,T20180002768,1,1,Clear
174718,T20180002773,1,1,Clear
174719,T20180002775,1,0,Clear
174720,T20180002777,1,1,Clear
174721,T20180002783,1,1,Clear
174722,T20180002784,1,1,Clear
174723,T20180002785,1,0,Clear
174724,T20180002786,1,0,Clear
174725,T20180002787,1,1,Clear
174726,T20180002788,1,1,Clear
174727,T20180002791,1,1,Clear
174728,T20180002792,1,1,Clear
174729,T20180002793,9,1,Not known
174730,T20180002795,1,1,Clear
174731,T20180002797,1,1,Clear
174732,T20180002799,1,1,Clear
174733,T20180002803,1,1,Clear
174734,T20180002804,1,1,Clear
174735,T20180002808,1,0,Clear
174736,T20180002810,1,0,Clear
174737,T20180002811,1,1,Clear
174738,T20180002812,1,1,Clear
174739,T20180002813,1,0,Clear
174740,T20180002814,1,1,Clear
174741,T20180002815,1,1,Clear
174742,T20180002817,1,1,Clear
174743,T20180002819,1,1,Clear
174744,T20180002824,1,1,Clear
174745,T20180002826,1,1,Clear
174746,T20180002827,1,0,Clear
174747,T20180002829,1,1,Clear
174748,T20180002830,2,1,Raining
174749,T20180002830,7,2,Strong winds
174750,T20180002832,1,0,Clear
174751,T20180002832,7,1,Strong winds
174752,T20180002833,2,1,Raining
174753,T20180002833,7,2,Strong winds
174754,T20180002834,1,1,Clear
174755,T20180002835,1,1,Clear
174756,T20180002837,1,1,Clear
174757,T20180002838,1,1,Clear
174758,T20180002839,1,1,Clear
174759,T20180002842,1,1,Clear
174760,T20180002844,1,1,Clear
174761,T20180002844,7,2,Strong winds
174762,T20180002845,1,1,Clear
174763,T20180002846,9,1,Not known
174764,T20180002850,1,1,Clear
174765,T20180002854,1,1,Clear
174766,T20180002857,1,1,Clear
174767,T20180002857,7,2,Strong winds
174768,T20180002858,1,1,Clear
174769,T20180002861,1,0,Clear
174770,T20180002865,9,1,Not known
174771,T20180002867,1,1,Clear
174772,T20180002868,1,1,Clear
174773,T20180002869,1,1,Clear
174774,T20180002870,1,1,Clear
174775,T20180002872,1,0,Clear
174776,T20180002873,1,1,Clear
174777,T20180002874,1,1,Clear
174778,T20180002876,1,1,Clear
174779,T20180002877,1,0,Clear
174780,T20180002880,1,0,Clear
174781,T20180002881,1,1,Clear
174782,T20180002882,1,1,Clear
174783,T20180002883,9,1,Not known
174784,T20180002887,1,1,Clear
174785,T20180002889,1,1,Clear
174786,T20180002891,1,1,Clear
174787,T20180002892,1,1,Clear
174788,T20180002894,1,1,Clear
174789,T20180002896,1,1,Clear
174790,T20180002901,1,1,Clear
174791,T20180002902,1,0,Clear
174792,T20180002904,1,1,Clear
174793,T20180002905,1,1,Clear
174794,T20180002906,1,0,Clear
174795,T20180002907,1,1,Clear
174796,T20180002908,1,1,Clear
174797,T20180002910,1,0,Clear
174798,T20180002911,1,1,Clear
174799,T20180002916,1,1,Clear
174800,T20180002918,1,1,Clear
174801,T20180002919,1,1,Clear
174802,T20180002921,1,1,Clear
174803,T20180002925,1,1,Clear
174804,T20180002926,1,1,Clear
174805,T20180002927,1,1,Clear
174806,T20180002928,1,1,Clear
174807,T20180002929,1,1,Clear
174808,T20180002930,1,1,Clear
174809,T20180002931,1,1,Clear
174810,T20180002937,1,0,Clear
174811,T20180002942,9,1,Not known
174812,T20180002943,1,1,Clear
174813,T20180002945,1,0,Clear
174814,T20180002947,1,1,Clear
174815,T20180002949,1,1,Clear
174816,T20180002951,1,1,Clear
174817,T20180002953,1,1,Clear
174818,T20180002955,1,1,Clear
174819,T20180002959,1,1,Clear
174820,T20180002961,1,0,Clear
174821,T20180002962,1,0,Clear
174822,T20180002964,1,0,Clear
174823,T20180002966,2,1,Raining
174824,T20180002970,1,1,Clear
174825,T20180002971,1,1,Clear
174826,T20180002972,1,1,Clear
174827,T20180002973,1,1,Clear
174828,T20180002974,1,1,Clear
174829,T20180002982,1,1,Clear
174830,T20180002983,2,0,Raining
174831,T20180002984,1,1,Clear
174832,T20180002987,1,1,Clear
174833,T20180002988,1,1,Clear
174834,T20180002989,2,1,Raining
174835,T20180002990,1,1,Clear
174836,T20180002992,1,1,Clear
174837,T20180002994,1,1,Clear
174838,T20180002995,9,1,Not known
174839,T20180002999,9,1,Not known
174840,T20180003001,1,1,Clear
174841,T20180003002,1,1,Clear
174842,T20180003004,1,0,Clear
174843,T20180003005,1,0,Clear
174844,T20180003006,1,0,Clear
174845,T20180003008,1,1,Clear
174846,T20180003010,2,1,Raining
174847,T20180003012,1,0,Clear
174848,T20180003013,1,1,Clear
174849,T20180003014,1,1,Clear
174850,T20180003015,9,1,Not known
174851,T20180003016,1,1,Clear
174852,T20180003018,1,0,Clear
174853,T20180003019,4,1,Fog
174854,T20180003021,1,1,Clear
174855,T20180003023,1,1,Clear
174856,T20180003024,1,1,Clear
174857,T20180003025,1,1,Clear
174858,T20180003026,1,1,Clear
174859,T20180003028,1,1,Clear
174860,T20180003032,1,0,Clear
174861,T20180003035,1,1,Clear
174862,T20180003036,1,1,Clear
174863,T20180003037,1,1,Clear
174864,T20180003038,1,1,Clear
174865,T20180003039,1,1,Clear
174866,T20180003040,1,1,Clear
174867,T20180003044,1,1,Clear
174868,T20180003049,1,1,Clear
174869,T20180003051,1,1,Clear
174870,T20180003052,9,1,Not known
174871,T20180003053,1,1,Clear
174872,T20180003054,1,1,Clear
174873,T20180003058,1,1,Clear
174874,T20180003061,1,1,Clear
174875,T20180003062,1,1,Clear
174876,T20180003063,1,1,Clear
174877,T20180003064,1,1,Clear
174878,T20180003066,1,1,Clear
174879,T20180003067,1,1,Clear
174880,T20180003069,1,1,Clear
174881,T20180003070,1,0,Clear
174882,T20180003072,1,1,Clear
174883,T20180003075,1,1,Clear
174884,T20180003076,1,1,Clear
174885,T20180003077,1,1,Clear
174886,T20180003079,1,1,Clear
174887,T20180003081,1,1,Clear
174888,T20180003084,9,1,Not known
174889,T20180003088,1,0,Clear
174890,T20180003089,1,1,Clear
174891,T20180003090,1,0,Clear
174892,T20180003091,1,1,Clear
174893,T20180003094,1,1,Clear
174894,T20180003095,1,1,Clear
174895,T20180003096,1,1,Clear
174896,T20180003099,1,1,Clear
174897,T20180003100,1,0,Clear
174898,T20180003101,1,1,Clear
174899,T20180003102,1,1,Clear
174900,T20180003103,1,1,Clear
174901,T20180003105,1,0,Clear
174902,T20180003106,1,1,Clear
174903,T20180003107,1,1,Clear
174904,T20180003108,1,0,Clear
174905,T20180003110,1,1,Clear
174906,T20180003114,1,1,Clear
174907,T20180003115,1,1,Clear
174908,T20180003118,1,1,Clear
174909,T20180003121,1,1,Clear
174910,T20180003123,1,1,Clear
174911,T20180003125,1,1,Clear
174912,T20180003126,1,0,Clear
174913,T20180003128,1,1,Clear
174914,T20180003130,1,1,Clear
174915,T20180003131,1,1,Clear
174916,T20180003132,1,1,Clear
174917,T20180003137,1,0,Clear
174918,T20180003138,1,0,Clear
174919,T20180003141,1,1,Clear
174920,T20180003142,1,1,Clear
174921,T20180003144,1,1,Clear
174922,T20180003146,1,1,Clear
174923,T20180003150,1,1,Clear
174924,T20180003151,1,1,Clear
174925,T20180003154,1,0,Clear
174926,T20180003157,1,1,Clear
174927,T20180003158,1,1,Clear
174928,T20180003159,1,1,Clear
174929,T20180003166,1,1,Clear
174930,T20180003168,1,0,Clear
174931,T20180003170,1,1,Clear
174932,T20180003171,1,1,Clear
174933,T20180003172,1,1,Clear
174934,T20180003174,1,1,Clear
174935,T20180003177,1,0,Clear
174936,T20180003178,1,0,Clear
174937,T20180003181,1,0,Clear
174938,T20180003183,1,1,Clear
174939,T20180003185,1,0,Clear
174940,T20180003186,1,1,Clear
174941,T20180003187,1,1,Clear
174942,T20180003188,1,1,Clear
174943,T20180003189,9,1,Not known
174944,T20180003190,1,0,Clear
174945,T20180003192,1,0,Clear
174946,T20180003193,1,1,Clear
174947,T20180003194,1,1,Clear
174948,T20180003196,1,1,Clear
174949,T20180003197,1,1,Clear
174950,T20180003198,1,1,Clear
174951,T20180003199,1,0,Clear
174952,T20180003201,1,1,Clear
174953,T20180003207,1,0,Clear
174954,T20180003208,1,1,Clear
174955,T20180003209,1,1,Clear
174956,T20180003209,7,2,Strong winds
174957,T20180003210,1,1,Clear
174958,T20180003210,7,2,Strong winds
174959,T20180003211,1,1,Clear
174960,T20180003212,1,1,Clear
174961,T20180003212,7,2,Strong winds
174962,T20180003213,1,0,Clear
174963,T20180003215,1,1,Clear
174964,T20180003220,7,1,Strong winds
174965,T20180003223,1,1,Clear
174966,T20180003224,1,1,Clear
174967,T20180003229,1,1,Clear
174968,T20180003230,1,0,Clear
174969,T20180003231,2,0,Raining
174970,T20180003232,9,1,Not known
174971,T20180003233,1,0,Clear
174972,T20180003235,1,1,Clear
174973,T20180003236,1,1,Clear
174974,T20180003239,1,1,Clear
174975,T20180003241,1,1,Clear
174976,T20180003242,1,1,Clear
174977,T20180003243,1,1,Clear
174978,T20180003246,1,1,Clear
174979,T20180003247,1,1,Clear
174980,T20180003250,1,1,Clear
174981,T20180003251,1,1,Clear
174982,T20180003252,1,1,Clear
174983,T20180003253,1,0,Clear
174984,T20180003254,1,1,Clear
174985,T20180003255,9,0,Not known
174986,T20180003256,1,1,Clear
174987,T20180003257,1,1,Clear
174988,T20180003259,1,0,Clear
174989,T20180003260,1,1,Clear
174990,T20180003261,1,0,Clear
174991,T20180003262,9,1,Not known
174992,T20180003263,1,1,Clear
174993,T20180003266,1,0,Clear
174994,T20180003267,1,0,Clear
174995,T20180003269,1,1,Clear
174996,T20180003270,1,1,Clear
174997,T20180003271,1,0,Clear
174998,T20180003272,1,0,Clear
174999,T20180003275,1,1,Clear
175000,T20180003276,1,0,Clear
175001,T20180003277,9,1,Not known
175002,T20180003279,9,1,Not known
175003,T20180003280,1,1,Clear
175004,T20180003283,1,1,Clear
175005,T20180003284,1,1,Clear
175006,T20180003285,1,0,Clear
175007,T20180003287,1,1,Clear
175008,T20180003288,1,1,Clear
175009,T20180003289,1,1,Clear
175010,T20180003290,1,0,Clear
175011,T20180003291,1,1,Clear
175012,T20180003295,1,0,Clear
175013,T20180003297,9,1,Not known
175014,T20180003299,1,1,Clear
175015,T20180003302,1,1,Clear
175016,T20180003305,1,1,Clear
175017,T20180003310,1,1,Clear
175018,T20180003312,1,0,Clear
175019,T20180003316,1,0,Clear
175020,T20180003319,1,1,Clear
175021,T20180003322,1,1,Clear
175022,T20180003324,1,1,Clear
175023,T20180003327,1,1,Clear
175024,T20180003328,1,0,Clear
175025,T20180003333,9,1,Not known
175026,T20180003334,1,0,Clear
175027,T20180003335,1,0,Clear
175028,T20180003336,1,0,Clear
175029,T20180003337,1,1,Clear
175030,T20180003338,1,1,Clear
175031,T20180003339,1,1,Clear
175032,T20180003340,1,0,Clear
175033,T20180003341,1,1,Clear
175034,T20180003342,1,1,Clear
175035,T20180003345,1,1,Clear
175036,T20180003346,1,1,Clear
175037,T20180003347,1,1,Clear
175038,T20180003352,1,0,Clear
175039,T20180003353,1,1,Clear
175040,T20180003354,1,0,Clear
175041,T20180003355,1,1,Clear
175042,T20180003356,1,1,Clear
175043,T20180003357,1,1,Clear
175044,T20180003358,1,1,Clear
175045,T20180003359,1,1,Clear
175046,T20180003361,1,0,Clear
175047,T20180003363,1,1,Clear
175048,T20180003365,1,1,Clear
175049,T20180003366,1,1,Clear
175050,T20180003367,9,1,Not known
175051,T20180003369,1,0,Clear
175052,T20180003371,1,1,Clear
175053,T20180003372,1,1,Clear
175054,T20180003374,1,1,Clear
175055,T20180003382,1,1,Clear
175056,T20180003388,1,0,Clear
175057,T20180003389,1,1,Clear
175058,T20180003390,1,1,Clear
175059,T20180003393,1,0,Clear
175060,T20180003397,1,1,Clear
175061,T20180003398,1,1,Clear
175062,T20180003400,1,1,Clear
175063,T20180003402,1,1,Clear
175064,T20180003403,2,1,Raining
175065,T20180003404,1,0,Clear
175066,T20180003406,1,1,Clear
175067,T20180003408,1,1,Clear
175068,T20180003410,1,1,Clear
175069,T20180003411,1,1,Clear
175070,T20180003412,1,1,Clear
175071,T20180003413,1,0,Clear
175072,T20180003414,1,0,Clear
175073,T20180003415,1,0,Clear
175074,T20180003416,1,1,Clear
175075,T20180003417,1,0,Clear
175076,T20180003418,1,1,Clear
175077,T20180003420,9,1,Not known
175078,T20180003424,1,1,Clear
175079,T20180003425,1,1,Clear
175080,T20180003429,1,1,Clear
175081,T20180003430,1,0,Clear
175082,T20180003432,1,1,Clear
175083,T20180003435,1,1,Clear
175084,T20180003436,1,0,Clear
175085,T20180003439,1,1,Clear
175086,T20180003441,9,1,Not known
175087,T20180003444,2,1,Raining
175088,T20180003445,9,0,Not known
175089,T20180003446,1,1,Clear
175090,T20180003449,1,1,Clear
175091,T20180003453,1,1,Clear
175092,T20180003460,1,1,Clear
175093,T20180003465,1,1,Clear
175094,T20180003468,9,1,Not known
175095,T20180003469,1,1,Clear
175096,T20180003473,1,1,Clear
175097,T20180003474,9,1,Not known
175098,T20180003475,1,1,Clear
175099,T20180003477,1,1,Clear
175100,T20180003479,1,1,Clear
175101,T20180003483,2,1,Raining
175102,T20180003485,1,1,Clear
175103,T20180003486,1,1,Clear
175104,T20180003492,1,1,Clear
175105,T20180003493,1,1,Clear
175106,T20180003494,1,1,Clear
175107,T20180003495,1,1,Clear
175108,T20180003497,1,1,Clear
175109,T20180003497,6,2,Dust
175110,T20180003499,1,1,Clear
175111,T20180003501,1,0,Clear
175112,T20180003506,1,0,Clear
175113,T20180003509,1,0,Clear
175114,T20180003510,1,1,Clear
175115,T20180003512,1,1,Clear
175116,T20180003514,1,1,Clear
175117,T20180003516,1,1,Clear
175118,T20180003517,1,1,Clear
175119,T20180003518,1,1,Clear
175120,T20180003519,9,1,Not known
175121,T20180003521,1,1,Clear
175122,T20180003526,1,1,Clear
175123,T20180003528,1,1,Clear
175124,T20180003529,1,0,Clear
175125,T20180003532,1,1,Clear
175126,T20180003533,1,1,Clear
175127,T20180003534,2,1,Raining
175128,T20180003535,1,1,Clear
175129,T20180003536,1,0,Clear
175130,T20180003537,1,1,Clear
175131,T20180003539,1,1,Clear
175132,T20180003540,1,1,Clear
175133,T20180003543,1,1,Clear
175134,T20180003545,1,1,Clear
175135,T20180003546,1,1,Clear
175136,T20180003547,1,1,Clear
175137,T20180003548,1,1,Clear
175138,T20180003549,1,1,Clear
175139,T20180003550,1,1,Clear
175140,T20180003552,9,1,Not known
175141,T20180003555,1,1,Clear
175142,T20180003556,1,1,Clear
175143,T20180003558,1,1,Clear
175144,T20180003562,1,1,Clear
175145,T20180003566,1,1,Clear
175146,T20180003570,1,1,Clear
175147,T20180003571,1,1,Clear
175148,T20180003572,2,1,Raining
175149,T20180003574,9,1,Not known
175150,T20180003575,2,1,Raining
175151,T20180003576,1,1,Clear
175152,T20180003577,9,0,Not known
175153,T20180003578,1,1,Clear
175154,T20180003579,9,1,Not known
175155,T20180003580,9,1,Not known
175156,T20180003581,1,1,Clear
175157,T20180003582,1,1,Clear
175158,T20180003584,2,0,Raining
175159,T20180003588,1,1,Clear
175160,T20180003589,1,1,Clear
175161,T20180003590,1,1,Clear
175162,T20180003591,1,1,Clear
175163,T20180003594,1,0,Clear
175164,T20180003595,1,1,Clear
175165,T20180003596,1,1,Clear
175166,T20180003599,1,1,Clear
175167,T20180003600,9,1,Not known
175168,T20180003601,1,0,Clear
175169,T20180003604,1,1,Clear
175170,T20180003606,2,1,Raining
175171,T20180003608,1,1,Clear
175172,T20180003610,2,1,Raining
175173,T20180003611,1,1,Clear
175174,T20180003614,1,0,Clear
175175,T20180003616,1,1,Clear
175176,T20180003618,1,1,Clear
175177,T20180003619,1,1,Clear
175178,T20180003621,1,0,Clear
175179,T20180003624,1,1,Clear
175180,T20180003628,1,1,Clear
175181,T20180003630,1,1,Clear
175182,T20180003632,2,0,Raining
175183,T20180003637,1,1,Clear
