,ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
159700,T20170003036,9,Unknown,0
159701,T20170003037,1,Dry,1
159702,T20170003039,2,Wet,1
159703,T20170003040,1,Dry,0
159704,T20170003041,1,Dry,1
159705,T20170003046,1,Dry,1
159706,T20170003047,1,Dry,1
159707,T20170003048,1,Dry,1
159708,T20170003049,1,Dry,1
159709,T20170003051,1,Dry,0
159710,T20170003053,1,Dry,1
159711,T20170003054,1,Dry,1
159712,T20170003055,1,Dry,1
159713,T20170003056,1,Dry,1
159714,T20170003057,1,Dry,1
159715,T20170003060,2,Wet,1
159716,T20170003061,1,Dry,1
159717,T20170003062,1,Dry,0
159718,T20170003063,1,Dry,1
159719,T20170003064,1,Dry,1
159720,T20170003065,1,Dry,1
159721,T20170003066,1,Dry,1
159722,T20170003067,1,Dry,1
159723,T20170003068,1,Dry,1
159724,T20170003070,1,Dry,1
159725,T20170003073,1,Dry,1
159726,T20170003074,1,Dry,1
159727,T20170003075,1,Dry,1
159728,T20170003085,1,Dry,1
159729,T20170003088,1,Dry,1
159730,T20170003092,1,Dry,1
159731,T20170003096,1,Dry,0
159732,T20170003097,1,Dry,1
159733,T20170003098,1,Dry,1
159734,T20170003101,1,Dry,1
159735,T20170003102,9,Unknown,1
159736,T20170003104,1,Dry,1
159737,T20170003105,1,Dry,1
159738,T20170003106,1,Dry,1
159739,T20170003108,1,Dry,1
159740,T20170003109,1,Dry,1
159741,T20170003111,1,Dry,0
159742,T20170003115,1,Dry,1
159743,T20170003116,1,Dry,1
159744,T20170003117,1,Dry,0
159745,T20170003118,1,Dry,0
159746,T20170003119,1,Dry,1
159747,T20170003120,1,Dry,0
159748,T20170003122,1,Dry,1
159749,T20170003127,1,Dry,1
159750,T20170003129,1,Dry,1
159751,T20170003133,1,Dry,1
159752,T20170003134,1,Dry,0
159753,T20170003137,1,Dry,0
159754,T20170003138,1,Dry,1
159755,T20170003141,1,Dry,0
159756,T20170003142,1,Dry,1
159757,T20170003144,1,Dry,1
159758,T20170003145,1,Dry,0
159759,T20170003147,1,Dry,1
159760,T20170003148,1,Dry,1
159761,T20170003150,1,Dry,1
159762,T20170003152,1,Dry,1
159763,T20170003155,2,Wet,1
159764,T20170003156,1,Dry,1
159765,T20170003157,1,Dry,1
159766,T20170003158,1,Dry,1
159767,T20170003161,1,Dry,1
159768,T20170003164,1,Dry,1
159769,T20170003165,1,Dry,1
159770,T20170003166,1,Dry,1
159771,T20170003167,1,Dry,1
159772,T20170003168,1,Dry,1
159773,T20170003169,1,Dry,1
159774,T20170003172,1,Dry,1
159775,T20170003173,1,Dry,1
159776,T20170003179,1,Dry,1
159777,T20170003180,1,Dry,1
159778,T20170003181,2,Wet,0
159779,T20170003182,1,Dry,1
159780,T20170003183,1,Dry,1
159781,T20170003185,1,Dry,0
159782,T20170003186,1,Dry,1
159783,T20170003187,1,Dry,1
159784,T20170003188,1,Dry,0
159785,T20170003191,1,Dry,1
159786,T20170003195,1,Dry,1
159787,T20170003196,1,Dry,1
159788,T20170003201,1,Dry,0
159789,T20170003204,1,Dry,1
159790,T20170003209,1,Dry,1
159791,T20170003210,3,Muddy,1
159792,T20170003211,1,Dry,1
159793,T20170003214,1,Dry,1
159794,T20170003215,1,Dry,1
159795,T20170003216,1,Dry,1
159796,T20170003217,1,Dry,1
159797,T20170003218,1,Dry,1
159798,T20170003220,1,Dry,1
159799,T20170003221,1,Dry,1
159800,T20170003225,1,Dry,1
159801,T20170003228,1,Dry,1
159802,T20170003230,1,Dry,1
159803,T20170003231,1,Dry,1
159804,T20170003232,1,Dry,1
159805,T20170003234,1,Dry,1
159806,T20170003235,1,Dry,1
159807,T20170003237,1,Dry,1
159808,T20170003238,1,Dry,1
159809,T20170003239,9,Unknown,1
159810,T20170003240,1,Dry,1
159811,T20170003241,1,Dry,1
159812,T20170003243,1,Dry,0
159813,T20170003244,1,Dry,1
159814,T20170003246,1,Dry,0
159815,T20170003249,1,Dry,1
159816,T20170003252,1,Dry,1
159817,T20170003257,2,Wet,1
159818,T20170003258,2,Wet,0
159819,T20170003259,1,Dry,1
159820,T20170003260,1,Dry,1
159821,T20170003261,1,Dry,1
159822,T20170003262,1,Dry,0
159823,T20170003263,1,Dry,1
159824,T20170003264,1,Dry,1
159825,T20170003265,9,Unknown,1
159826,T20170003269,1,Dry,1
159827,T20170003273,1,Dry,1
159828,T20170003274,1,Dry,1
159829,T20170003278,1,Dry,1
159830,T20170003279,1,Dry,0
159831,T20170003283,1,Dry,1
159832,T20170003287,1,Dry,0
159833,T20170003289,1,Dry,1
159834,T20170003290,1,Dry,1
159835,T20170003293,1,Dry,1
159836,T20170003295,9,Unknown,1
159837,T20170003298,1,Dry,1
159838,T20170003299,1,Dry,1
159839,T20170003301,1,Dry,1
159840,T20170003304,1,Dry,1
159841,T20170003306,1,Dry,1
159842,T20170003307,9,Unknown,1
159843,T20170003311,1,Dry,1
159844,T20170003312,1,Dry,1
159845,T20170003315,2,Wet,0
159846,T20170003316,1,Dry,0
159847,T20170003322,1,Dry,1
159848,T20170003323,1,Dry,1
159849,T20170003324,2,Wet,1
159850,T20170003325,1,Dry,1
159851,T20170003327,1,Dry,0
159852,T20170003327,2,Wet,1
159853,T20170003329,1,Dry,0
159854,T20170003331,2,Wet,1
159855,T20170003332,1,Dry,1
159856,T20170003333,2,Wet,1
159857,T20170003337,1,Dry,1
159858,T20170003338,1,Dry,1
159859,T20170003342,1,Dry,1
